dataset,method,family,seed,k,feature,rank,score,selected,elapsed_seconds,sample_size,status
customer_churn,mutual_info,relevancia pura,13,15,support_calls,1,0.22943894450456798,True,0.01389495749026537,5000,ok
customer_churn,mutual_info,relevancia pura,13,15,total_spend,2,0.16428858650483968,True,0.01389495749026537,5000,ok
customer_churn,mutual_info,relevancia pura,13,15,contract_length_Monthly,3,0.12854207071490742,True,0.01389495749026537,5000,ok
customer_churn,mutual_info,relevancia pura,13,15,age,4,0.08978786418879656,True,0.01389495749026537,5000,ok
customer_churn,mutual_info,relevancia pura,13,15,payment_delay,5,0.08887098233580593,True,0.01389495749026537,5000,ok
customer_churn,mutual_info,relevancia pura,13,15,contract_length_Quarterly,6,0.016303443423050734,True,0.01389495749026537,5000,ok
customer_churn,mutual_info,relevancia pura,13,15,gender_Female,7,0.015300999664884463,True,0.01389495749026537,5000,ok
customer_churn,mutual_info,relevancia pura,13,15,gender_Male,8,0.015300999664884463,True,0.01389495749026537,5000,ok
customer_churn,mutual_info,relevancia pura,13,15,last_interaction,9,0.014034180898019888,True,0.01389495749026537,5000,ok
customer_churn,mutual_info,relevancia pura,13,15,contract_length_Annual,10,0.01397232307329127,True,0.01389495749026537,5000,ok
customer_churn,mutual_info,relevancia pura,13,15,tenure,11,0.004663627251920377,True,0.01389495749026537,5000,ok
customer_churn,mutual_info,relevancia pura,13,15,usage_frequency,12,0.0005287185512442005,True,0.01389495749026537,5000,ok
customer_churn,mutual_info,relevancia pura,13,15,subscription_type_Premium,13,0.00022882364919335485,True,0.01389495749026537,5000,ok
customer_churn,mutual_info,relevancia pura,13,15,subscription_type_Basic,14,0.00015969687274386413,True,0.01389495749026537,5000,ok
customer_churn,mutual_info,relevancia pura,13,15,subscription_type_Standard,15,7.847579477693323e-06,True,0.01389495749026537,5000,ok
customer_churn,mutual_info,relevancia pura,42,15,support_calls,1,0.22723731995612287,True,0.013492672704160213,5000,ok
customer_churn,mutual_info,relevancia pura,42,15,total_spend,2,0.16952632085836386,True,0.013492672704160213,5000,ok
customer_churn,mutual_info,relevancia pura,42,15,contract_length_Monthly,3,0.1273091973361331,True,0.013492672704160213,5000,ok
customer_churn,mutual_info,relevancia pura,42,15,payment_delay,4,0.09369499481289051,True,0.013492672704160213,5000,ok
customer_churn,mutual_info,relevancia pura,42,15,age,5,0.08303580032425822,True,0.013492672704160213,5000,ok
customer_churn,mutual_info,relevancia pura,42,15,contract_length_Annual,6,0.016777100499836772,True,0.013492672704160213,5000,ok
customer_churn,mutual_info,relevancia pura,42,15,gender_Female,7,0.015315394853769482,True,0.013492672704160213,5000,ok
customer_churn,mutual_info,relevancia pura,42,15,gender_Male,8,0.015315394853769482,True,0.013492672704160213,5000,ok
customer_churn,mutual_info,relevancia pura,42,15,last_interaction,9,0.013255837635045675,True,0.013492672704160213,5000,ok
customer_churn,mutual_info,relevancia pura,42,15,contract_length_Quarterly,10,0.01304959368133779,True,0.013492672704160213,5000,ok
customer_churn,mutual_info,relevancia pura,42,15,tenure,11,0.003153186668172381,True,0.013492672704160213,5000,ok
customer_churn,mutual_info,relevancia pura,42,15,usage_frequency,12,0.0016421335244249657,True,0.013492672704160213,5000,ok
customer_churn,mutual_info,relevancia pura,42,15,subscription_type_Basic,13,0.0007508446675687508,True,0.013492672704160213,5000,ok
customer_churn,mutual_info,relevancia pura,42,15,subscription_type_Standard,14,0.0003978529234803241,True,0.013492672704160213,5000,ok
customer_churn,mutual_info,relevancia pura,42,15,subscription_type_Premium,15,4.85601321507656e-05,True,0.013492672704160213,5000,ok
customer_churn,mutual_info,relevancia pura,97,15,support_calls,1,0.2182907236360168,True,0.013580282218754292,5000,ok
customer_churn,mutual_info,relevancia pura,97,15,total_spend,2,0.16144911792624653,True,0.013580282218754292,5000,ok
customer_churn,mutual_info,relevancia pura,97,15,contract_length_Monthly,3,0.13444916068155738,True,0.013580282218754292,5000,ok
customer_churn,mutual_info,relevancia pura,97,15,payment_delay,4,0.09404437548916977,True,0.013580282218754292,5000,ok
customer_churn,mutual_info,relevancia pura,97,15,age,5,0.08427077852828146,True,0.013580282218754292,5000,ok
customer_churn,mutual_info,relevancia pura,97,15,contract_length_Quarterly,6,0.019188037345199582,True,0.013580282218754292,5000,ok
customer_churn,mutual_info,relevancia pura,97,15,gender_Female,7,0.016239942002976848,True,0.013580282218754292,5000,ok
customer_churn,mutual_info,relevancia pura,97,15,gender_Male,8,0.016239942002976848,True,0.013580282218754292,5000,ok
customer_churn,mutual_info,relevancia pura,97,15,contract_length_Annual,9,0.01375851451381982,True,0.013580282218754292,5000,ok
customer_churn,mutual_info,relevancia pura,97,15,last_interaction,10,0.007984365098127028,True,0.013580282218754292,5000,ok
customer_churn,mutual_info,relevancia pura,97,15,usage_frequency,11,0.0027659628329494423,True,0.013580282218754292,5000,ok
customer_churn,mutual_info,relevancia pura,97,15,tenure,12,0.002514968175957699,True,0.013580282218754292,5000,ok
customer_churn,mutual_info,relevancia pura,97,15,subscription_type_Basic,13,0.000661178394419204,True,0.013580282218754292,5000,ok
customer_churn,mutual_info,relevancia pura,97,15,subscription_type_Premium,14,0.00023640614186087872,True,0.013580282218754292,5000,ok
customer_churn,mutual_info,relevancia pura,97,15,subscription_type_Standard,15,0.00010199877686434267,True,0.013580282218754292,5000,ok
