dataset,method,family,seed,k,feature,rank,score,selected,elapsed_seconds,sample_size,status
breast_cancer_wisconsin,rrfs,relevancia-redundancia,42,30,texture_mean,19,12.043669598768634,True,0.02869366481900215,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,42,30,smoothness_mean,20,11.028891373013527,True,0.02869366481900215,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,42,30,area_se,21,10.028522708629536,True,0.02869366481900215,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,42,30,compactness_se,22,9.026628767731639,True,0.02869366481900215,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,42,30,symmetry_mean,23,8.025514701456474,True,0.02869366481900215,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,42,30,fractal_dimension_worst,24,7.024297661273957,True,0.02869366481900215,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,42,30,smoothness_se,25,6.012585420803456,True,0.02869366481900215,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,42,30,symmetry_se,26,5.009667501843546,True,0.02869366481900215,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,42,30,concavity_se,27,4.00412798900356,True,0.02869366481900215,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,42,30,texture_se,28,3.0024881115760285,True,0.02869366481900215,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,42,30,fractal_dimension_mean,29,2.0018826231188918,True,0.02869366481900215,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,42,30,fractal_dimension_se,30,1.0015806508040825,True,0.02869366481900215,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,97,30,concave_points_worst,1,30.293175965689144,True,0.02853376604616642,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,97,30,radius_worst,2,29.184159806518057,True,0.02853376604616642,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,97,30,concave_points_mean,3,28.172730435390523,True,0.02853376604616642,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,97,30,perimeter_worst,4,27.163016809838343,True,0.02853376604616642,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,97,30,area_worst,5,26.149264591976173,True,0.02853376604616642,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,97,30,concavity_mean,6,25.14857289738354,True,0.02853376604616642,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,97,30,perimeter_mean,7,24.147247275986757,True,0.02853376604616642,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,97,30,radius_mean,8,23.14491136535996,True,0.02853376604616642,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,97,30,concavity_worst,9,22.14071702911313,True,0.02853376604616642,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,97,30,area_mean,10,21.135346143151306,True,0.02853376604616642,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,97,30,compactness_mean,11,20.09383834290136,True,0.02853376604616642,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,97,30,compactness_worst,12,19.088220894779532,True,0.02853376604616642,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,97,30,texture_worst,13,18.072298565400683,True,0.02853376604616642,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,97,30,radius_se,14,17.062124011935822,True,0.02853376604616642,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,97,30,concave_points_se,15,16.060185633351598,True,0.02853376604616642,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,97,30,smoothness_worst,16,15.050762610484655,True,0.02853376604616642,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,97,30,symmetry_worst,17,14.048635486343448,True,0.02853376604616642,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,97,30,perimeter_se,18,13.045450432084511,True,0.02853376604616642,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,97,30,texture_mean,19,12.043669598768634,True,0.02853376604616642,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,97,30,smoothness_mean,20,11.028891373013527,True,0.02853376604616642,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,97,30,area_se,21,10.028522708629536,True,0.02853376604616642,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,97,30,compactness_se,22,9.026628767731639,True,0.02853376604616642,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,97,30,symmetry_mean,23,8.025514701456474,True,0.02853376604616642,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,97,30,fractal_dimension_worst,24,7.024297661273957,True,0.02853376604616642,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,97,30,smoothness_se,25,6.012585420803456,True,0.02853376604616642,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,97,30,symmetry_se,26,5.009667501843546,True,0.02853376604616642,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,97,30,concavity_se,27,4.00412798900356,True,0.02853376604616642,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,97,30,texture_se,28,3.0024881115760285,True,0.02853376604616642,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,97,30,fractal_dimension_mean,29,2.0018826231188918,True,0.02853376604616642,398,ok
breast_cancer_wisconsin,rrfs,relevancia-redundancia,97,30,fractal_dimension_se,30,1.0015806508040825,True,0.02853376604616642,398,ok
