dataset,method,family,seed,k,feature,rank,score,selected,elapsed_seconds,sample_size,status
olive_oil_3class,l1_logistic,regularizacion,13,8,other,1,1.4377736009257929,True,0.013722196221351624,400,ok
olive_oil_3class,l1_logistic,regularizacion,13,8,linolenic,2,1.2210788169395996,True,0.013722196221351624,400,ok
olive_oil_3class,l1_logistic,regularizacion,13,8,eicosenoic,3,0.34903258569937096,True,0.013722196221351624,400,ok
olive_oil_3class,l1_logistic,regularizacion,13,8,palmitoleic,4,0.25555408001363905,True,0.013722196221351624,400,ok
olive_oil_3class,l1_logistic,regularizacion,13,8,stearic,5,0.06626380229542807,True,0.013722196221351624,400,ok
olive_oil_3class,l1_logistic,regularizacion,13,8,oleic,6,0.0,True,0.013722196221351624,400,ok
olive_oil_3class,l1_logistic,regularizacion,13,8,linoleic,7,0.0,True,0.013722196221351624,400,ok
olive_oil_3class,l1_logistic,regularizacion,13,8,arachidic,8,0.0,True,0.013722196221351624,400,ok
olive_oil_3class,l1_logistic,regularizacion,42,8,other,1,1.437712518095295,True,0.023024857975542545,400,ok
olive_oil_3class,l1_logistic,regularizacion,42,8,linolenic,2,1.2210753030738397,True,0.023024857975542545,400,ok
olive_oil_3class,l1_logistic,regularizacion,42,8,eicosenoic,3,0.349031008762394,True,0.023024857975542545,400,ok
olive_oil_3class,l1_logistic,regularizacion,42,8,palmitoleic,4,0.2555165222030598,True,0.023024857975542545,400,ok
olive_oil_3class,l1_logistic,regularizacion,42,8,stearic,5,0.0663427246204744,True,0.023024857975542545,400,ok
olive_oil_3class,l1_logistic,regularizacion,42,8,oleic,6,0.0,True,0.023024857975542545,400,ok
olive_oil_3class,l1_logistic,regularizacion,42,8,linoleic,7,0.0,True,0.023024857975542545,400,ok
olive_oil_3class,l1_logistic,regularizacion,42,8,arachidic,8,0.0,True,0.023024857975542545,400,ok
olive_oil_3class,l1_logistic,regularizacion,97,8,other,1,1.437768109034015,True,0.026808984577655792,400,ok
olive_oil_3class,l1_logistic,regularizacion,97,8,linolenic,2,1.2210778263059565,True,0.026808984577655792,400,ok
olive_oil_3class,l1_logistic,regularizacion,97,8,eicosenoic,3,0.3490308561212383,True,0.026808984577655792,400,ok
olive_oil_3class,l1_logistic,regularizacion,97,8,palmitoleic,4,0.25554884743926826,True,0.026808984577655792,400,ok
olive_oil_3class,l1_logistic,regularizacion,97,8,stearic,5,0.06626645325293881,True,0.026808984577655792,400,ok
olive_oil_3class,l1_logistic,regularizacion,97,8,oleic,6,0.0,True,0.026808984577655792,400,ok
olive_oil_3class,l1_logistic,regularizacion,97,8,linoleic,7,0.0,True,0.026808984577655792,400,ok
olive_oil_3class,l1_logistic,regularizacion,97,8,arachidic,8,0.0,True,0.026808984577655792,400,ok
